1531, -0.74, -1.36, 0.46, -29.21, -16.52, -141.22, 10.65, 63.32, -10.50, 7
1541, -0.48, -1.12, 0.45, -46.40, -6.10, -130.73, 11.40, 63.92, -10.50, 7
1550, -0.33, -0.83, 0.46, -54.57, 6.65, -117.07, 11.40, 63.92, -10.05, 7
1560, -0.32, -0.76, 0.42, -47.20, 13.48, -98.96, 11.55, 62.42, -11.70, 7
1570, -0.34, -0.97, 0.41, -34.02, 15.67, -80.55, 13.20, 62.87, -11.55, 7
1579, -0.38, -1.02, 0.36, -22.87, 17.01, -64.82, 12.90, 63.47, -10.95, 7
1589, -0.57, -0.81, 0.23, -14.21, 20.43, -53.60, 12.75, 63.32, -12.15, 7
1599, -0.93, -0.46, 0.15, -4.33, 23.17, -44.21, 13.65, 63.02, -10.65, 7
1608, -1.43, -0.14, 0.14, 5.91, 24.51, -32.93, 11.70, 62.87, -11.10, 7
1618, -1.85, -0.18, 0.13, 16.65, 23.54, -22.68, 12.60, 64.22, -11.25, 7
1628, -1.76, -0.53, 0.10, 24.02, 20.55, -26.16, 12.90, 61.67, -11.25, 7
1637, -1.30, -0.73, 0.08, 13.84, 17.07, -46.95, 12.30, 64.52, -9.90, 7
1647, -0.91, -0.76, 0.05, -8.48, 17.99, -65.24, 13.65, 63.02, -10.95, 7
1657, -0.56, -0.75, 0.07, -25.79, 22.44, -67.68, 14.55, 62.87, -10.50, 7
1666, -0.36, -0.62, 0.09, -31.59, 24.94, -55.06, 14.70, 63.47, -12.00, 7
1714, -0.45, -0.50, 0.06, -31.77, 22.56, -38.05, 16.95, 61.97, -11.25, 7
1724, -0.68, -0.41, 0.07, -27.68, 18.35, -27.01, 16.95, 61.67, -12.30, 7
1734, -0.92, -0.35, 0.05, -18.78, 15.24, -24.57, 16.20, 61.67, -11.70, 7
1744, -1.04, -0.30, 0.07, -9.02, 15.79, -27.26, 17.55, 59.41, -13.05, 7
1754, -1.02, -0.28, 0.10, -0.06, 17.13, -32.07, 17.25, 60.92, -12.75, 7
1764, -0.95, -0.28, 0.15, 6.22, 16.95, -36.65, 18.45, 60.77, -13.20, 7
1774, -0.89, -0.26, 0.15, 6.28, 16.52, -39.63, 18.00, 59.41, -13.80, 7
1784, -0.89, -0.22, 0.12, 2.01, 15.98, -41.77, 20.56, 59.41, -14.40, 7
1794, -0.93, -0.23, 0.12, -3.48, 14.76, -45.30, 20.26, 57.91, -14.25, 7
1804, -0.96, -0.22, 0.09, -10.91, 13.60, -51.34, 20.26, 56.71, -13.50, 7
1814, -0.92, -0.24, 0.07, -18.17, 12.44, -60.24, 20.86, 56.26, -14.10, 7
1825, -0.90, -0.17, 0.09, -24.51, 10.55, -70.67, 22.06, 55.66, -11.85, 7
1835, -0.93, -0.04, 0.06, -30.98, 8.23, -80.24, 23.11, 53.11, -15.00, 7
1845, -0.98, 0.10, 0.11, -32.50, 7.99, -89.51, 23.11, 53.56, -15.00, 7
1877, -0.95, 0.05, 0.10, -28.60, 7.87, -100.55, 24.91, 52.81, -13.20, 7
1887, -0.85, -0.12, 0.11, -22.62, 6.65, -112.93, 22.81, 52.06, -13.50, 7
1897, -0.76, -0.33, 0.14, -23.05, 5.61, -124.27, 21.31, 52.06, -12.90, 7
1907, -0.79, -0.38, 0.13, -29.51, 6.10, -132.93, 22.66, 53.71, -13.35, 7
1917, -1.03, -0.28, 0.04, -40.18, 10.00, -140.24, 20.56, 55.21, -13.05, 7
1927, -1.34, -0.16, -0.01, -46.16, 16.34, -150.18, 19.65, 56.41, -13.95, 7
